'Sex'	'Height'	'LeftArm'	'RtArm'	'LeftFoot'	'RtFoot'	'LeftHand'	'RtHand'	'HeadCirc'	'nose'
'Female'	62	22.5	23	21.5	21	8.3	7.3	56.5	5.1
'Female'	66	24	25	24	25	8.5	8.5	53	6
'Female'	64.5	22.5	21.5	23.3	23	7.5	7.5	56	4
'Female'	64.5	24.5	24.5	25	25.5	8	8	55	5
'Female'	67	25	25	25.5	25	8	8	57	6.5
'Female'	72	28	28	26.2	25.7	9.1	8.5	56.5	4.3
'Female'	64	24	23.5	23.5	23.5	7.5	7	54	4.5
'Female'	69	28	25.5	26.5	26	7.5	7.5	58	4.5
'Female'	63	22	22	24	25	7	7	53	4
'Female'	64	24	24	21	21	7	7	56	5
'Female'	67	26	27	22	22	7.5	7.2	54	4
'Female'	63	25	26.5	24	23	7	6.5	54.5	5
'Female'	67	23	23	23	23	6.5	6.5	56	5
'Female'	66	25.5	25.5	24	25.5	9.5	10	54	4
'Female'	66	25.5	25.5	23	23	7	7	55.9	5
'Female'	64	23.5	24	22	22.6	7.6	7.5	58.2	4.9
'Female'	67	23.3	24	24.5	23.5	8.2	8.2	56	4.7
'Female'	71	25.5	28	25.5	28	7.5	8.5	58	5
'Female'	65	23.5	23	24	23.5	7.6	7.6	58	5
'Female'	68	25	25	25	24.5	8	8	56	4.5
'Female'	61.5	23	23	23	24	8	8.5	56	4.5
'Female'	62	23.5	23.5	23.5	23	8	8	57	4.5
'Female'	62.5	24	24	24	24	7	7	61	4
'Female'	68	25.5	25	25.5	25	10	9	53.5	4
'Female'	65	22.5	23	22.9	23.2	7.5	7.4	57	4.5
'Female'	61	22.2	22.2	22	22.2	6.9	6.9	55.2	4.7
'Female'	63	23	23	24	23	7.5	8	53	5
'Female'	71	25.5	28	25.5	28	7.5	7.5	54.5	5
'Female'	68	24.5	24.5	24.5	25.5	7	6.5	57.8	4.5
'Female'	62	26	26	23	23	6	6	56	5
