'Sex'	'Height'	'LeftArm'	'RtArm'	'LeftFoot'	'RtFoot'	'LeftHand'	'RtHand'	'HeadCirc'	'nose'
'Male'	69	25.5	25.5	27	26.5	9.5	9	58.5	5.5
'Male'	79	28	25	29	27.5	9	9	54	5
'Male'	75	27	27.5	31	32	3.75	3.75	62.5	5
'Male'	69	25	25.5	25.5	25.5	10	8	58.5	5.5
'Male'	65	25	25	23.5	23	9.5	9.4	57	4.4
'Male'	79	30.5	30.5	28	28	8.5	8.5	58.5	4.5
'Male'	72	26.5	26.5	28.5	28.5	9.5	9.5	60.5	4.2
'Male'	69.5	26.5	27	27	27	10	10.5	58.5	5
'Male'	73	28	28.4	30.6	31.4	8.5	8.9	57.4	6.4
'Male'	71.5	28.6	28.1	27.4	28.5	9.8	9.4	56.5	4.1
'Male'	69.5	27	27	27	27	9	9	58.5	5
'Male'	73	23	23	28.5	27.5	8.5	9	59.5	5
'Male'	71	28	27	29	27	8	8	59	6
'Male'	74	28	27	29	30	10	10	58.5	5
'Male'	75	31	28	28	29	8.1	8.4	59	6
'Male'	71	23.5	23	27	27.5	9.5	10	57	5.5
'Male'	72	28.5	28	26.5	27.5	11.5	11.5	58	6.5
'Male'	66	24	25	25.5	26	8	8.5	57	5
'Male'	71	26	26	29	28	9	9	55	5
'Male'	67	25.5	25.5	27.2	27	7.7	7.7	54	5.5
'Male'	71	29.5	28.5	29	28.5	9	9.5	57.5	5.5
'Male'	72	25.5	25	28	28	9.5	9.5	56	5.3
'Male'	72	25	26	28.5	29	8.5	9	61	4.5
'Male'	73.5	26	28.5	29	30	9.5	9.9	62	5
'Male'	73	30	29	23.5	24	9	9.5	58	6
